numeroPeriodo,7.4287,33.6762,30.8161,21.6481,11.0935
rcapinst,95.1924,187.5,100.8383,70,183.0801
rocup,0.9369,0.8332,1,1,0.8286
rprodobt,91.6021,154.0054,100.8383,70,149.4689
rstockprd,116.8709,1114.5942,117.7964,78,365.026
rplantilla,217.0095,255,215.4371,225,255
rrecur,56120.7687,0,0,14212.3595,0
rpagamcap,57691.1878,0,0,0,300255.2269
rcobredcap,0,0,0,0,0
rexceso,0,0,0,0,0
rdemanda,136.3267,201.0854,164.2058,106.1896,153.0365
ragrega,90.8254,0,0,23.6034,0
rstockven,95.0662,154.0121,100.8383,71.2315,153.8504
rventas,94.5903,154.0095,100.8383,70.9383,148.5242
rcali,6.0261,9,1.1198,8.3519,7.5175
rcuota,14.7344,22.7146,14.8726,10.867,22.7972
rcostemed,0.1831,0,0,0.0476,0
rcostemfab,27.4528,7.1027,7.7792,10.3759,7.2537
rcosteuni,1.4884,0,0,0.4065,0
rtipoemp,7.7785,4.3231,4.6316,5.7714,7.2526
ramorpre,394751.5682,0,0,85283.5193,1577556.058
rdividendo,0,0,0,0,0
ramplik,32287.9613,0,0,0,0
raccven,5372.3729,0,0,0,0
rvalorcont,24.1326,215.416,163.4066,76.0562,40.7635
rvalormer,19.5734,-149700.9276,55.6199,-38081543623,25.2528
rgtosestab,17816.2258,26144.0265,17508.5263,17429.351,26420.452
rgtosamor,16972.0965,26144.0265,17508.5263,17173.8281,25948.4719
rplantae,4725739.805,13237291.83,4877015.289,4207084.731,13150727.02
ramoracu,1508256.901,12432207.45,4550313.926,3013129.666,4936743.829
rinmonet,3217482.904,805084.3809,326701.3627,1193955.065,8213983.19
ractfin,71093.705,0,82054.3472,330556.6574,0
rexistmp,189527.6205,1607802.826,193911.9199,128104.0587,552876.2281
rexistpt,760613.6099,1093885.985,783988.8909,729339.0955,1118650.074
rclientes,2454033.025,7485376.553,5191071.103,2885586.102,3835956.806
rtotactfic,844.1294,0,0,255.5229,471.9801
rtotactcir,6625417.048,83312897.68,53693182.15,25379361.11,11879504.93
rtotactre,9842899.952,84117982.07,54019883.51,26573316.18,20093488.12
rtotact,9843744.081,84117982.07,54019883.51,26573571.7,20093960.1
rcapsoc,2028810.353,2298871.299,1942204.805,2028415.852,2298871.299
rreser,3383661.727,62230796.38,39525919.76,18019711.27,7533179.634
rrea,236324.3249,3193730.473,2167745.756,1063921.442,1235123.693
retotrec,7692038.059,82398281.04,52852635.8,25669479.76,15592365.95
rdeudala,570226.2943,0,0,79300.2082,423869.0543
rdeudaco,1018024.07,0,0,241769.2635,2076589.468
rtotpasci,1581027.321,1719701.024,1167247.715,824791.7325,4077725.09
rtotrecaj,2151253.615,1719701.024,1167247.715,904091.9407,4501594.145
rtotpas,9843291.674,84117982.07,54019883.51,26573571.7,20093960.1
rpotros,0,0,0,0,0
rcotros,0,0,0,0,0
rsaldo,12.8622,0,0,2.0525,0
racumpyg,2043241.655,14674882.89,9216765.483,4557431.199,4525191.326
rvtaneta,2454033.025,7485376.553,5191071.103,2885586.102,3835956.806
rcostefab,771090.4333,1094509.358,784403.5811,736043.4319,1076769.389
ramortiza,116701.2154,330932.2957,121925.3822,105177.1183,321261.7948
rrrhh,466133.1317,550392.4256,465703.8467,485292.656,550233.984
rcostemp,149675.9292,215913.331,166104.8691,114957.7675,213340.7442
rmarbru,1682942.592,6390867.195,4406667.522,2149542.67,2759187.417
rcostefijo,27866.9152,56237.2096,30254.7928,20885.9865,54908.8571
rgtosgene,65648.6636,161159.399,64090.6698,44048.5014,158730.6417
rbaii,978430.1551,5859662.511,3748625.788,1894305.791,2230905.181
rinteres,1041.3837,0,840.6732,4115.5938,0
rgtosfin,41579.5867,0,0,6581.7621,102309.7919
ringaext,-62623.5457,0,0,0,0
rbai,937891.9522,5859662.511,3749466.461,1891839.623,2128595.389
rimpupre,303256.5108,2120042.817,1258902.281,617216.1747,474958.6293
rbdi,1186074.719,8221457.423,5151882.025,2575046.127,2652839.561
rgtosfina,-11682.3334,0,0,-1416.4779,0
rgtosfor,53041.0732,97606.8978,54552.5246,37886.7599,94897.534
rgtoscom,35410.4626,0,0,2586.949,0
